Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,ALLE,,,,,,
2010-01-05,ALLE,,,,,,
2010-01-06,ALLE,,,,,,
2010-01-07,ALLE,,,,,,
2010-01-08,ALLE,,,,,,
2010-01-11,ALLE,,,,,,
2010-01-12,ALLE,,,,,,
2010-01-13,ALLE,,,,,,
2010-01-14,ALLE,,,,,,
2010-01-15,ALLE,,,,,,
2010-01-19,ALLE,,,,,,
2010-01-20,ALLE,,,,,,
2010-01-21,ALLE,,,,,,
2010-01-22,ALLE,,,,,,
2010-01-25,ALLE,,,,,,
2010-01-26,ALLE,,,,,,
2010-01-27,ALLE,,,,,,
2010-01-28,ALLE,,,,,,
2010-01-29,ALLE,,,,,,
2010-02-01,ALLE,,,,,,
2010-02-02,ALLE,,,,,,
2010-02-03,ALLE,,,,,,
2010-02-04,ALLE,,,,,,
2010-02-05,ALLE,,,,,,
2010-02-08,ALLE,,,,,,
2010-02-09,ALLE,,,,,,
2010-02-10,ALLE,,,,,,
2010-02-11,ALLE,,,,,,
2010-02-12,ALLE,,,,,,
2010-02-16,ALLE,,,,,,
2010-02-17,ALLE,,,,,,
2010-02-18,ALLE,,,,,,
2010-02-19,ALLE,,,,,,
2010-02-22,ALLE,,,,,,
2010-02-23,ALLE,,,,,,
2010-02-24,ALLE,,,,,,
2010-02-25,ALLE,,,,,,
2010-02-26,ALLE,,,,,,
2010-03-01,ALLE,,,,,,
2010-03-02,ALLE,,,,,,
2010-03-03,ALLE,,,,,,
2010-03-04,ALLE,,,,,,
2010-03-05,ALLE,,,,,,
2010-03-08,ALLE,,,,,,
2010-03-09,ALLE,,,,,,
2010-03-10,ALLE,,,,,,
2010-03-11,ALLE,,,,,,
2010-03-12,ALLE,,,,,,
2010-03-15,ALLE,,,,,,
2010-03-16,ALLE,,,,,,
2010-03-17,ALLE,,,,,,
2010-03-18,ALLE,,,,,,
2010-03-19,ALLE,,,,,,
2010-03-22,ALLE,,,,,,
2010-03-23,ALLE,,,,,,
2010-03-24,ALLE,,,,,,
2010-03-25,ALLE,,,,,,
2010-03-26,ALLE,,,,,,
2010-03-29,ALLE,,,,,,
2010-03-30,ALLE,,,,,,
2010-03-31,ALLE,,,,,,
2010-04-01,ALLE,,,,,,
2010-04-05,ALLE,,,,,,
2010-04-06,ALLE,,,,,,
2010-04-07,ALLE,,,,,,
2010-04-08,ALLE,,,,,,
2010-04-09,ALLE,,,,,,
2010-04-12,ALLE,,,,,,
2010-04-13,ALLE,,,,,,
2010-04-14,ALLE,,,,,,
2010-04-15,ALLE,,,,,,
2010-04-16,ALLE,,,,,,
2010-04-19,ALLE,,,,,,
2010-04-20,ALLE,,,,,,
2010-04-21,ALLE,,,,,,
2010-04-22,ALLE,,,,,,
2010-04-23,ALLE,,,,,,
2010-04-26,ALLE,,,,,,
2010-04-27,ALLE,,,,,,
2010-04-28,ALLE,,,,,,
2010-04-29,ALLE,,,,,,
2010-04-30,ALLE,,,,,,
2010-05-03,ALLE,,,,,,
2010-05-04,ALLE,,,,,,
2010-05-05,ALLE,,,,,,
2010-05-06,ALLE,,,,,,
2010-05-07,ALLE,,,,,,
2010-05-10,ALLE,,,,,,
2010-05-11,ALLE,,,,,,
2010-05-12,ALLE,,,,,,
2010-05-13,ALLE,,,,,,
2010-05-14,ALLE,,,,,,
2010-05-17,ALLE,,,,,,
2010-05-18,ALLE,,,,,,
2010-05-19,ALLE,,,,,,
2010-05-20,ALLE,,,,,,
2010-05-21,ALLE,,,,,,
2010-05-24,ALLE,,,,,,
2010-05-25,ALLE,,,,,,
2010-05-26,ALLE,,,,,,
2010-05-27,ALLE,,,,,,
2010-05-28,ALLE,,,,,,
2010-06-01,ALLE,,,,,,
2010-06-02,ALLE,,,,,,
2010-06-03,ALLE,,,,,,
2010-06-04,ALLE,,,,,,
2010-06-07,ALLE,,,,,,
2010-06-08,ALLE,,,,,,
2010-06-09,ALLE,,,,,,
2010-06-10,ALLE,,,,,,
2010-06-11,ALLE,,,,,,
2010-06-14,ALLE,,,,,,
2010-06-15,ALLE,,,,,,
2010-06-16,ALLE,,,,,,
2010-06-17,ALLE,,,,,,
2010-06-18,ALLE,,,,,,
2010-06-21,ALLE,,,,,,
