Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,FOX,,,,,,
2010-01-05,FOX,,,,,,
2010-01-06,FOX,,,,,,
2010-01-07,FOX,,,,,,
2010-01-08,FOX,,,,,,
2010-01-11,FOX,,,,,,
2010-01-12,FOX,,,,,,
2010-01-13,FOX,,,,,,
2010-01-14,FOX,,,,,,
2010-01-15,FOX,,,,,,
2010-01-19,FOX,,,,,,
2010-01-20,FOX,,,,,,
2010-01-21,FOX,,,,,,
2010-01-22,FOX,,,,,,
2010-01-25,FOX,,,,,,
2010-01-26,FOX,,,,,,
2010-01-27,FOX,,,,,,
2010-01-28,FOX,,,,,,
2010-01-29,FOX,,,,,,
2010-02-01,FOX,,,,,,
2010-02-02,FOX,,,,,,
2010-02-03,FOX,,,,,,
2010-02-04,FOX,,,,,,
2010-02-05,FOX,,,,,,
2010-02-08,FOX,,,,,,
2010-02-09,FOX,,,,,,
2010-02-10,FOX,,,,,,
2010-02-11,FOX,,,,,,
2010-02-12,FOX,,,,,,
2010-02-16,FOX,,,,,,
2010-02-17,FOX,,,,,,
2010-02-18,FOX,,,,,,
2010-02-19,FOX,,,,,,
2010-02-22,FOX,,,,,,
2010-02-23,FOX,,,,,,
2010-02-24,FOX,,,,,,
2010-02-25,FOX,,,,,,
2010-02-26,FOX,,,,,,
2010-03-01,FOX,,,,,,
2010-03-02,FOX,,,,,,
2010-03-03,FOX,,,,,,
2010-03-04,FOX,,,,,,
2010-03-05,FOX,,,,,,
2010-03-08,FOX,,,,,,
2010-03-09,FOX,,,,,,
2010-03-10,FOX,,,,,,
2010-03-11,FOX,,,,,,
2010-03-12,FOX,,,,,,
2010-03-15,FOX,,,,,,
2010-03-16,FOX,,,,,,
2010-03-17,FOX,,,,,,
2010-03-18,FOX,,,,,,
2010-03-19,FOX,,,,,,
2010-03-22,FOX,,,,,,
2010-03-23,FOX,,,,,,
2010-03-24,FOX,,,,,,
2010-03-25,FOX,,,,,,
2010-03-26,FOX,,,,,,
2010-03-29,FOX,,,,,,
2010-03-30,FOX,,,,,,
2010-03-31,FOX,,,,,,
2010-04-01,FOX,,,,,,
2010-04-05,FOX,,,,,,
2010-04-06,FOX,,,,,,
2010-04-07,FOX,,,,,,
2010-04-08,FOX,,,,,,
2010-04-09,FOX,,,,,,
2010-04-12,FOX,,,,,,
2010-04-13,FOX,,,,,,
2010-04-14,FOX,,,,,,
2010-04-15,FOX,,,,,,
2010-04-16,FOX,,,,,,
2010-04-19,FOX,,,,,,
2010-04-20,FOX,,,,,,
2010-04-21,FOX,,,,,,
2010-04-22,FOX,,,,,,
2010-04-23,FOX,,,,,,
2010-04-26,FOX,,,,,,
2010-04-27,FOX,,,,,,
2010-04-28,FOX,,,,,,
2010-04-29,FOX,,,,,,
2010-04-30,FOX,,,,,,
2010-05-03,FOX,,,,,,
2010-05-04,FOX,,,,,,
2010-05-05,FOX,,,,,,
2010-05-06,FOX,,,,,,
2010-05-07,FOX,,,,,,
2010-05-10,FOX,,,,,,
2010-05-11,FOX,,,,,,
2010-05-12,FOX,,,,,,
2010-05-13,FOX,,,,,,
2010-05-14,FOX,,,,,,
2010-05-17,FOX,,,,,,
2010-05-18,FOX,,,,,,
2010-05-19,FOX,,,,,,
2010-05-20,FOX,,,,,,
2010-05-21,FOX,,,,,,
2010-05-24,FOX,,,,,,
2010-05-25,FOX,,,,,,
2010-05-26,FOX,,,,,,
2010-05-27,FOX,,,,,,
2010-05-28,FOX,,,,,,
2010-06-01,FOX,,,,,,
2010-06-02,FOX,,,,,,
2010-06-03,FOX,,,,,,
2010-06-04,FOX,,,,,,
2010-06-07,FOX,,,,,,
2010-06-08,FOX,,,,,,
2010-06-09,FOX,,,,,,
2010-06-10,FOX,,,,,,
2010-06-11,FOX,,,,,,
2010-06-14,FOX,,,,,,
2010-06-15,FOX,,,,,,
2010-06-16,FOX,,,,,,
2010-06-17,FOX,,,,,,
2010-06-18,FOX,,,,,,
2010-06-21,FOX,,,,,,
2010-06-22,FOX,,,,,,
2010-06-23,FOX,,,,,,
2010-06-24,FOX,,,,,,
2010-06-25,FOX,,,,,,
2010-06-28,FOX,,,,,,
2010-06-29,FOX,,,,,,
2010-06-30,FOX,,,,,,
2010-07-01,FOX,,,,,,
2010-07-02,FOX,,,,,,
2010-07-06,FOX,,,,,,
2010-07-07,FOX,,,,,,
2010-07-08,FOX,,,,,,
2010-07-09,FOX,,,,,,
2010-07-12,FOX,,,,,,
2010-07-13,FOX,,,,,,
2010-07-14,FOX,,,,,,
2010-07-15,FOX,,,,,,
2010-07-16,FOX,,,,,,
2010-07-19,FOX,,,,,,
2010-07-20,FOX,,,,,,
2010-07-21,FOX,,,,,,
2010-07-22,FOX,,,,,,
2010-07-23,FOX,,,,,,
2010-07-26,FOX,,,,,,
2010-07-27,FOX,,,,,,
2010-07-28,FOX,,,,,,
2010-07-29,FOX,,,,,,
2010-07-30,FOX,,,,,,
2010-08-02,FOX,,,,,,
2010-08-03,FOX,,,,,,
2010-08-04,FOX,,,,,,
2010-08-05,FOX,,,,,,
