Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,HCA,,,,,,
2010-01-05,HCA,,,,,,
2010-01-06,HCA,,,,,,
2010-01-07,HCA,,,,,,
2010-01-08,HCA,,,,,,
2010-01-11,HCA,,,,,,
2010-01-12,HCA,,,,,,
2010-01-13,HCA,,,,,,
2010-01-14,HCA,,,,,,
2010-01-15,HCA,,,,,,
2010-01-19,HCA,,,,,,
2010-01-20,HCA,,,,,,
2010-01-21,HCA,,,,,,
2010-01-22,HCA,,,,,,
2010-01-25,HCA,,,,,,
2010-01-26,HCA,,,,,,
2010-01-27,HCA,,,,,,
2010-01-28,HCA,,,,,,
2010-01-29,HCA,,,,,,
2010-02-01,HCA,,,,,,
2010-02-02,HCA,,,,,,
2010-02-03,HCA,,,,,,
2010-02-04,HCA,,,,,,
2010-02-05,HCA,,,,,,
2010-02-08,HCA,,,,,,
2010-02-09,HCA,,,,,,
2010-02-10,HCA,,,,,,
2010-02-11,HCA,,,,,,
2010-02-12,HCA,,,,,,
2010-02-16,HCA,,,,,,
2010-02-17,HCA,,,,,,
2010-02-18,HCA,,,,,,
2010-02-19,HCA,,,,,,
2010-02-22,HCA,,,,,,
2010-02-23,HCA,,,,,,
2010-02-24,HCA,,,,,,
2010-02-25,HCA,,,,,,
2010-02-26,HCA,,,,,,
2010-03-01,HCA,,,,,,
2010-03-02,HCA,,,,,,
2010-03-03,HCA,,,,,,
2010-03-04,HCA,,,,,,
2010-03-05,HCA,,,,,,
2010-03-08,HCA,,,,,,
2010-03-09,HCA,,,,,,
2010-03-10,HCA,,,,,,
2010-03-11,HCA,,,,,,
2010-03-12,HCA,,,,,,
2010-03-15,HCA,,,,,,
2010-03-16,HCA,,,,,,
2010-03-17,HCA,,,,,,
2010-03-18,HCA,,,,,,
2010-03-19,HCA,,,,,,
2010-03-22,HCA,,,,,,
2010-03-23,HCA,,,,,,
2010-03-24,HCA,,,,,,
2010-03-25,HCA,,,,,,
2010-03-26,HCA,,,,,,
2010-03-29,HCA,,,,,,
2010-03-30,HCA,,,,,,
2010-03-31,HCA,,,,,,
2010-04-01,HCA,,,,,,
2010-04-05,HCA,,,,,,
2010-04-06,HCA,,,,,,
2010-04-07,HCA,,,,,,
2010-04-08,HCA,,,,,,
2010-04-09,HCA,,,,,,
2010-04-12,HCA,,,,,,
2010-04-13,HCA,,,,,,
2010-04-14,HCA,,,,,,
2010-04-15,HCA,,,,,,
2010-04-16,HCA,,,,,,
2010-04-19,HCA,,,,,,
2010-04-20,HCA,,,,,,
2010-04-21,HCA,,,,,,
2010-04-22,HCA,,,,,,
2010-04-23,HCA,,,,,,
2010-04-26,HCA,,,,,,
2010-04-27,HCA,,,,,,
2010-04-28,HCA,,,,,,
2010-04-29,HCA,,,,,,
2010-04-30,HCA,,,,,,
2010-05-03,HCA,,,,,,
2010-05-04,HCA,,,,,,
2010-05-05,HCA,,,,,,
2010-05-06,HCA,,,,,,
2010-05-07,HCA,,,,,,
2010-05-10,HCA,,,,,,
2010-05-11,HCA,,,,,,
2010-05-12,HCA,,,,,,
2010-05-13,HCA,,,,,,
2010-05-14,HCA,,,,,,
2010-05-17,HCA,,,,,,
2010-05-18,HCA,,,,,,
2010-05-19,HCA,,,,,,
2010-05-20,HCA,,,,,,
2010-05-21,HCA,,,,,,
2010-05-24,HCA,,,,,,
2010-05-25,HCA,,,,,,
2010-05-26,HCA,,,,,,
2010-05-27,HCA,,,,,,
2010-05-28,HCA,,,,,,
2010-06-01,HCA,,,,,,
2010-06-02,HCA,,,,,,
2010-06-03,HCA,,,,,,
2010-06-04,HCA,,,,,,
2010-06-07,HCA,,,,,,
2010-06-08,HCA,,,,,,
2010-06-09,HCA,,,,,,
2010-06-10,HCA,,,,,,
2010-06-11,HCA,,,,,,
2010-06-14,HCA,,,,,,
2010-06-15,HCA,,,,,,
2010-06-16,HCA,,,,,,
2010-06-17,HCA,,,,,,
2010-06-18,HCA,,,,,,
2010-06-21,HCA,,,,,,
2010-06-22,HCA,,,,,,
2010-06-23,HCA,,,,,,
2010-06-24,HCA,,,,,,
2010-06-25,HCA,,,,,,
2010-06-28,HCA,,,,,,
2010-06-29,HCA,,,,,,
2010-06-30,HCA,,,,,,
2010-07-01,HCA,,,,,,
2010-07-02,HCA,,,,,,
2010-07-06,HCA,,,,,,
2010-07-07,HCA,,,,,,
2010-07-08,HCA,,,,,,
2010-07-09,HCA,,,,,,
2010-07-12,HCA,,,,,,
2010-07-13,HCA,,,,,,
2010-07-14,HCA,,,,,,
2010-07-15,HCA,,,,,,
2010-07-16,HCA,,,,,,
2010-07-19,HCA,,,,,,
2010-07-20,HCA,,,,,,
2010-07-21,HCA,,,,,,
2010-07-22,HCA,,,,,,
2010-07-23,HCA,,,,,,
2010-07-26,HCA,,,,,,
2010-07-27,HCA,,,,,,
2010-07-28,HCA,,,,,,
2010-07-29,HCA,,,,,,
2010-07-30,HCA,,,,,,
