Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,HII,,,,,,
2010-01-05,HII,,,,,,
2010-01-06,HII,,,,,,
2010-01-07,HII,,,,,,
2010-01-08,HII,,,,,,
2010-01-11,HII,,,,,,
2010-01-12,HII,,,,,,
2010-01-13,HII,,,,,,
2010-01-14,HII,,,,,,
2010-01-15,HII,,,,,,
2010-01-19,HII,,,,,,
2010-01-20,HII,,,,,,
2010-01-21,HII,,,,,,
2010-01-22,HII,,,,,,
2010-01-25,HII,,,,,,
2010-01-26,HII,,,,,,
2010-01-27,HII,,,,,,
2010-01-28,HII,,,,,,
2010-01-29,HII,,,,,,
2010-02-01,HII,,,,,,
2010-02-02,HII,,,,,,
2010-02-03,HII,,,,,,
2010-02-04,HII,,,,,,
2010-02-05,HII,,,,,,
2010-02-08,HII,,,,,,
2010-02-09,HII,,,,,,
2010-02-10,HII,,,,,,
2010-02-11,HII,,,,,,
2010-02-12,HII,,,,,,
2010-02-16,HII,,,,,,
2010-02-17,HII,,,,,,
2010-02-18,HII,,,,,,
2010-02-19,HII,,,,,,
2010-02-22,HII,,,,,,
2010-02-23,HII,,,,,,
2010-02-24,HII,,,,,,
2010-02-25,HII,,,,,,
2010-02-26,HII,,,,,,
2010-03-01,HII,,,,,,
2010-03-02,HII,,,,,,
2010-03-03,HII,,,,,,
2010-03-04,HII,,,,,,
2010-03-05,HII,,,,,,
2010-03-08,HII,,,,,,
2010-03-09,HII,,,,,,
2010-03-10,HII,,,,,,
2010-03-11,HII,,,,,,
2010-03-12,HII,,,,,,
2010-03-15,HII,,,,,,
2010-03-16,HII,,,,,,
2010-03-17,HII,,,,,,
2010-03-18,HII,,,,,,
2010-03-19,HII,,,,,,
2010-03-22,HII,,,,,,
2010-03-23,HII,,,,,,
2010-03-24,HII,,,,,,
2010-03-25,HII,,,,,,
2010-03-26,HII,,,,,,
2010-03-29,HII,,,,,,
2010-03-30,HII,,,,,,
2010-03-31,HII,,,,,,
2010-04-01,HII,,,,,,
2010-04-05,HII,,,,,,
2010-04-06,HII,,,,,,
2010-04-07,HII,,,,,,
2010-04-08,HII,,,,,,
2010-04-09,HII,,,,,,
2010-04-12,HII,,,,,,
2010-04-13,HII,,,,,,
2010-04-14,HII,,,,,,
2010-04-15,HII,,,,,,
2010-04-16,HII,,,,,,
2010-04-19,HII,,,,,,
2010-04-20,HII,,,,,,
2010-04-21,HII,,,,,,
2010-04-22,HII,,,,,,
2010-04-23,HII,,,,,,
2010-04-26,HII,,,,,,
2010-04-27,HII,,,,,,
2010-04-28,HII,,,,,,
2010-04-29,HII,,,,,,
2010-04-30,HII,,,,,,
2010-05-03,HII,,,,,,
2010-05-04,HII,,,,,,
2010-05-05,HII,,,,,,
2010-05-06,HII,,,,,,
2010-05-07,HII,,,,,,
2010-05-10,HII,,,,,,
2010-05-11,HII,,,,,,
2010-05-12,HII,,,,,,
2010-05-13,HII,,,,,,
2010-05-14,HII,,,,,,
2010-05-17,HII,,,,,,
2010-05-18,HII,,,,,,
2010-05-19,HII,,,,,,
2010-05-20,HII,,,,,,
2010-05-21,HII,,,,,,
2010-05-24,HII,,,,,,
2010-05-25,HII,,,,,,
2010-05-26,HII,,,,,,
2010-05-27,HII,,,,,,
2010-05-28,HII,,,,,,
2010-06-01,HII,,,,,,
2010-06-02,HII,,,,,,
2010-06-03,HII,,,,,,
2010-06-04,HII,,,,,,
2010-06-07,HII,,,,,,
2010-06-08,HII,,,,,,
2010-06-09,HII,,,,,,
2010-06-10,HII,,,,,,
2010-06-11,HII,,,,,,
2010-06-14,HII,,,,,,
2010-06-15,HII,,,,,,
2010-06-16,HII,,,,,,
2010-06-17,HII,,,,,,
2010-06-18,HII,,,,,,
2010-06-21,HII,,,,,,
2010-06-22,HII,,,,,,
2010-06-23,HII,,,,,,
2010-06-24,HII,,,,,,
2010-06-25,HII,,,,,,
2010-06-28,HII,,,,,,
