Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,HLT,,,,,,
2010-01-05,HLT,,,,,,
2010-01-06,HLT,,,,,,
2010-01-07,HLT,,,,,,
2010-01-08,HLT,,,,,,
2010-01-11,HLT,,,,,,
2010-01-12,HLT,,,,,,
2010-01-13,HLT,,,,,,
2010-01-14,HLT,,,,,,
2010-01-15,HLT,,,,,,
2010-01-19,HLT,,,,,,
2010-01-20,HLT,,,,,,
2010-01-21,HLT,,,,,,
2010-01-22,HLT,,,,,,
2010-01-25,HLT,,,,,,
2010-01-26,HLT,,,,,,
2010-01-27,HLT,,,,,,
2010-01-28,HLT,,,,,,
2010-01-29,HLT,,,,,,
2010-02-01,HLT,,,,,,
2010-02-02,HLT,,,,,,
2010-02-03,HLT,,,,,,
2010-02-04,HLT,,,,,,
2010-02-05,HLT,,,,,,
2010-02-08,HLT,,,,,,
2010-02-09,HLT,,,,,,
2010-02-10,HLT,,,,,,
2010-02-11,HLT,,,,,,
2010-02-12,HLT,,,,,,
2010-02-16,HLT,,,,,,
2010-02-17,HLT,,,,,,
2010-02-18,HLT,,,,,,
2010-02-19,HLT,,,,,,
2010-02-22,HLT,,,,,,
2010-02-23,HLT,,,,,,
2010-02-24,HLT,,,,,,
2010-02-25,HLT,,,,,,
2010-02-26,HLT,,,,,,
2010-03-01,HLT,,,,,,
2010-03-02,HLT,,,,,,
2010-03-03,HLT,,,,,,
2010-03-04,HLT,,,,,,
2010-03-05,HLT,,,,,,
2010-03-08,HLT,,,,,,
2010-03-09,HLT,,,,,,
2010-03-10,HLT,,,,,,
2010-03-11,HLT,,,,,,
2010-03-12,HLT,,,,,,
2010-03-15,HLT,,,,,,
2010-03-16,HLT,,,,,,
2010-03-17,HLT,,,,,,
2010-03-18,HLT,,,,,,
2010-03-19,HLT,,,,,,
2010-03-22,HLT,,,,,,
2010-03-23,HLT,,,,,,
2010-03-24,HLT,,,,,,
2010-03-25,HLT,,,,,,
2010-03-26,HLT,,,,,,
2010-03-29,HLT,,,,,,
2010-03-30,HLT,,,,,,
2010-03-31,HLT,,,,,,
2010-04-01,HLT,,,,,,
2010-04-05,HLT,,,,,,
2010-04-06,HLT,,,,,,
2010-04-07,HLT,,,,,,
2010-04-08,HLT,,,,,,
2010-04-09,HLT,,,,,,
2010-04-12,HLT,,,,,,
2010-04-13,HLT,,,,,,
2010-04-14,HLT,,,,,,
2010-04-15,HLT,,,,,,
2010-04-16,HLT,,,,,,
2010-04-19,HLT,,,,,,
2010-04-20,HLT,,,,,,
2010-04-21,HLT,,,,,,
2010-04-22,HLT,,,,,,
2010-04-23,HLT,,,,,,
2010-04-26,HLT,,,,,,
2010-04-27,HLT,,,,,,
2010-04-28,HLT,,,,,,
2010-04-29,HLT,,,,,,
2010-04-30,HLT,,,,,,
2010-05-03,HLT,,,,,,
2010-05-04,HLT,,,,,,
2010-05-05,HLT,,,,,,
2010-05-06,HLT,,,,,,
2010-05-07,HLT,,,,,,
2010-05-10,HLT,,,,,,
2010-05-11,HLT,,,,,,
2010-05-12,HLT,,,,,,
2010-05-13,HLT,,,,,,
2010-05-14,HLT,,,,,,
2010-05-17,HLT,,,,,,
2010-05-18,HLT,,,,,,
2010-05-19,HLT,,,,,,
2010-05-20,HLT,,,,,,
2010-05-21,HLT,,,,,,
2010-05-24,HLT,,,,,,
2010-05-25,HLT,,,,,,
2010-05-26,HLT,,,,,,
2010-05-27,HLT,,,,,,
2010-05-28,HLT,,,,,,
2010-06-01,HLT,,,,,,
2010-06-02,HLT,,,,,,
2010-06-03,HLT,,,,,,
2010-06-04,HLT,,,,,,
2010-06-07,HLT,,,,,,
2010-06-08,HLT,,,,,,
2010-06-09,HLT,,,,,,
2010-06-10,HLT,,,,,,
2010-06-11,HLT,,,,,,
2010-06-14,HLT,,,,,,
2010-06-15,HLT,,,,,,
2010-06-16,HLT,,,,,,
2010-06-17,HLT,,,,,,
2010-06-18,HLT,,,,,,
2010-06-21,HLT,,,,,,
2010-06-22,HLT,,,,,,
2010-06-23,HLT,,,,,,
2010-06-24,HLT,,,,,,
2010-06-25,HLT,,,,,,
2010-06-28,HLT,,,,,,
2010-06-29,HLT,,,,,,
2010-06-30,HLT,,,,,,
2010-07-01,HLT,,,,,,
2010-07-02,HLT,,,,,,
2010-07-06,HLT,,,,,,
2010-07-07,HLT,,,,,,
2010-07-08,HLT,,,,,,
2010-07-09,HLT,,,,,,
2010-07-12,HLT,,,,,,
2010-07-13,HLT,,,,,,
2010-07-14,HLT,,,,,,
2010-07-15,HLT,,,,,,
2010-07-16,HLT,,,,,,
2010-07-19,HLT,,,,,,
2010-07-20,HLT,,,,,,
2010-07-21,HLT,,,,,,
2010-07-22,HLT,,,,,,
2010-07-23,HLT,,,,,,
2010-07-26,HLT,,,,,,
2010-07-27,HLT,,,,,,
2010-07-28,HLT,,,,,,
2010-07-29,HLT,,,,,,
2010-07-30,HLT,,,,,,
2010-08-02,HLT,,,,,,
2010-08-03,HLT,,,,,,
2010-08-04,HLT,,,,,,
2010-08-05,HLT,,,,,,
2010-08-06,HLT,,,,,,
2010-08-09,HLT,,,,,,
2010-08-10,HLT,,,,,,
2010-08-11,HLT,,,,,,
2010-08-12,HLT,,,,,,
2010-08-13,HLT,,,,,,
2010-08-16,HLT,,,,,,
2010-08-17,HLT,,,,,,
2010-08-18,HLT,,,,,,
2010-08-19,HLT,,,,,,
2010-08-20,HLT,,,,,,
2010-08-23,HLT,,,,,,
2010-08-24,HLT,,,,,,
2010-08-25,HLT,,,,,,
2010-08-26,HLT,,,,,,
2010-08-27,HLT,,,,,,
2010-08-30,HLT,,,,,,
2010-08-31,HLT,,,,,,
2010-09-01,HLT,,,,,,
2010-09-02,HLT,,,,,,
2010-09-03,HLT,,,,,,
2010-09-07,HLT,,,,,,
2010-09-08,HLT,,,,,,
2010-09-09,HLT,,,,,,
2010-09-10,HLT,,,,,,
2010-09-13,HLT,,,,,,
2010-09-14,HLT,,,,,,
2010-09-15,HLT,,,,,,
2010-09-16,HLT,,,,,,
2010-09-17,HLT,,,,,,
2010-09-20,HLT,,,,,,
2010-09-21,HLT,,,,,,
2010-09-22,HLT,,,,,,
2010-09-23,HLT,,,,,,
2010-09-24,HLT,,,,,,
2010-09-27,HLT,,,,,,
2010-09-28,HLT,,,,,,
2010-09-29,HLT,,,,,,
2010-09-30,HLT,,,,,,
2010-10-01,HLT,,,,,,
2010-10-04,HLT,,,,,,
2010-10-05,HLT,,,,,,
2010-10-06,HLT,,,,,,
2010-10-07,HLT,,,,,,
2010-10-08,HLT,,,,,,
2010-10-11,HLT,,,,,,
2010-10-12,HLT,,,,,,
2010-10-13,HLT,,,,,,
2010-10-14,HLT,,,,,,
2010-10-15,HLT,,,,,,
2010-10-18,HLT,,,,,,
2010-10-19,HLT,,,,,,
2010-10-20,HLT,,,,,,
2010-10-21,HLT,,,,,,
2010-10-22,HLT,,,,,,
2010-10-25,HLT,,,,,,
2010-10-26,HLT,,,,,,
2010-10-27,HLT,,,,,,
2010-10-28,HLT,,,,,,
2010-10-29,HLT,,,,,,
2010-11-01,HLT,,,,,,
2010-11-02,HLT,,,,,,
2010-11-03,HLT,,,,,,
2010-11-04,HLT,,,,,,
2010-11-05,HLT,,,,,,
2010-11-08,HLT,,,,,,
2010-11-09,HLT,,,,,,
2010-11-10,HLT,,,,,,
2010-11-11,HLT,,,,,,
2010-11-12,HLT,,,,,,
2010-11-15,HLT,,,,,,
2010-11-16,HLT,,,,,,
2010-11-17,HLT,,,,,,
