Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,HPE,,,,,,
2010-01-05,HPE,,,,,,
2010-01-06,HPE,,,,,,
2010-01-07,HPE,,,,,,
2010-01-08,HPE,,,,,,
2010-01-11,HPE,,,,,,
2010-01-12,HPE,,,,,,
2010-01-13,HPE,,,,,,
2010-01-14,HPE,,,,,,
2010-01-15,HPE,,,,,,
2010-01-19,HPE,,,,,,
2010-01-20,HPE,,,,,,
2010-01-21,HPE,,,,,,
2010-01-22,HPE,,,,,,
2010-01-25,HPE,,,,,,
2010-01-26,HPE,,,,,,
2010-01-27,HPE,,,,,,
2010-01-28,HPE,,,,,,
2010-01-29,HPE,,,,,,
2010-02-01,HPE,,,,,,
2010-02-02,HPE,,,,,,
2010-02-03,HPE,,,,,,
2010-02-04,HPE,,,,,,
2010-02-05,HPE,,,,,,
2010-02-08,HPE,,,,,,
2010-02-09,HPE,,,,,,
2010-02-10,HPE,,,,,,
2010-02-11,HPE,,,,,,
2010-02-12,HPE,,,,,,
2010-02-16,HPE,,,,,,
2010-02-17,HPE,,,,,,
2010-02-18,HPE,,,,,,
2010-02-19,HPE,,,,,,
2010-02-22,HPE,,,,,,
2010-02-23,HPE,,,,,,
2010-02-24,HPE,,,,,,
2010-02-25,HPE,,,,,,
2010-02-26,HPE,,,,,,
2010-03-01,HPE,,,,,,
2010-03-02,HPE,,,,,,
2010-03-03,HPE,,,,,,
2010-03-04,HPE,,,,,,
2010-03-05,HPE,,,,,,
2010-03-08,HPE,,,,,,
2010-03-09,HPE,,,,,,
2010-03-10,HPE,,,,,,
2010-03-11,HPE,,,,,,
2010-03-12,HPE,,,,,,
2010-03-15,HPE,,,,,,
2010-03-16,HPE,,,,,,
2010-03-17,HPE,,,,,,
2010-03-18,HPE,,,,,,
2010-03-19,HPE,,,,,,
2010-03-22,HPE,,,,,,
2010-03-23,HPE,,,,,,
2010-03-24,HPE,,,,,,
2010-03-25,HPE,,,,,,
2010-03-26,HPE,,,,,,
2010-03-29,HPE,,,,,,
2010-03-30,HPE,,,,,,
2010-03-31,HPE,,,,,,
2010-04-01,HPE,,,,,,
2010-04-05,HPE,,,,,,
2010-04-06,HPE,,,,,,
2010-04-07,HPE,,,,,,
2010-04-08,HPE,,,,,,
2010-04-09,HPE,,,,,,
2010-04-12,HPE,,,,,,
2010-04-13,HPE,,,,,,
2010-04-14,HPE,,,,,,
2010-04-15,HPE,,,,,,
2010-04-16,HPE,,,,,,
2010-04-19,HPE,,,,,,
2010-04-20,HPE,,,,,,
2010-04-21,HPE,,,,,,
2010-04-22,HPE,,,,,,
2010-04-23,HPE,,,,,,
2010-04-26,HPE,,,,,,
2010-04-27,HPE,,,,,,
2010-04-28,HPE,,,,,,
2010-04-29,HPE,,,,,,
2010-04-30,HPE,,,,,,
2010-05-03,HPE,,,,,,
2010-05-04,HPE,,,,,,
2010-05-05,HPE,,,,,,
2010-05-06,HPE,,,,,,
2010-05-07,HPE,,,,,,
2010-05-10,HPE,,,,,,
2010-05-11,HPE,,,,,,
2010-05-12,HPE,,,,,,
2010-05-13,HPE,,,,,,
2010-05-14,HPE,,,,,,
2010-05-17,HPE,,,,,,
2010-05-18,HPE,,,,,,
2010-05-19,HPE,,,,,,
2010-05-20,HPE,,,,,,
2010-05-21,HPE,,,,,,
2010-05-24,HPE,,,,,,
2010-05-25,HPE,,,,,,
2010-05-26,HPE,,,,,,
2010-05-27,HPE,,,,,,
2010-05-28,HPE,,,,,,
2010-06-01,HPE,,,,,,
2010-06-02,HPE,,,,,,
2010-06-03,HPE,,,,,,
2010-06-04,HPE,,,,,,
2010-06-07,HPE,,,,,,
2010-06-08,HPE,,,,,,
2010-06-09,HPE,,,,,,
2010-06-10,HPE,,,,,,
2010-06-11,HPE,,,,,,
2010-06-14,HPE,,,,,,
2010-06-15,HPE,,,,,,
2010-06-16,HPE,,,,,,
2010-06-17,HPE,,,,,,
2010-06-18,HPE,,,,,,
2010-06-21,HPE,,,,,,
2010-06-22,HPE,,,,,,
2010-06-23,HPE,,,,,,
2010-06-24,HPE,,,,,,
2010-06-25,HPE,,,,,,
2010-06-28,HPE,,,,,,
2010-06-29,HPE,,,,,,
2010-06-30,HPE,,,,,,
2010-07-01,HPE,,,,,,
2010-07-02,HPE,,,,,,
2010-07-06,HPE,,,,,,
2010-07-07,HPE,,,,,,
2010-07-08,HPE,,,,,,
2010-07-09,HPE,,,,,,
2010-07-12,HPE,,,,,,
2010-07-13,HPE,,,,,,
2010-07-14,HPE,,,,,,
2010-07-15,HPE,,,,,,
