Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,INVH,,,,,,
2010-01-05,INVH,,,,,,
2010-01-06,INVH,,,,,,
2010-01-07,INVH,,,,,,
2010-01-08,INVH,,,,,,
2010-01-11,INVH,,,,,,
2010-01-12,INVH,,,,,,
2010-01-13,INVH,,,,,,
2010-01-14,INVH,,,,,,
2010-01-15,INVH,,,,,,
2010-01-19,INVH,,,,,,
2010-01-20,INVH,,,,,,
2010-01-21,INVH,,,,,,
2010-01-22,INVH,,,,,,
2010-01-25,INVH,,,,,,
2010-01-26,INVH,,,,,,
2010-01-27,INVH,,,,,,
2010-01-28,INVH,,,,,,
2010-01-29,INVH,,,,,,
2010-02-01,INVH,,,,,,
2010-02-02,INVH,,,,,,
2010-02-03,INVH,,,,,,
2010-02-04,INVH,,,,,,
2010-02-05,INVH,,,,,,
2010-02-08,INVH,,,,,,
2010-02-09,INVH,,,,,,
2010-02-10,INVH,,,,,,
2010-02-11,INVH,,,,,,
2010-02-12,INVH,,,,,,
2010-02-16,INVH,,,,,,
2010-02-17,INVH,,,,,,
2010-02-18,INVH,,,,,,
2010-02-19,INVH,,,,,,
2010-02-22,INVH,,,,,,
2010-02-23,INVH,,,,,,
2010-02-24,INVH,,,,,,
2010-02-25,INVH,,,,,,
2010-02-26,INVH,,,,,,
2010-03-01,INVH,,,,,,
2010-03-02,INVH,,,,,,
2010-03-03,INVH,,,,,,
2010-03-04,INVH,,,,,,
2010-03-05,INVH,,,,,,
2010-03-08,INVH,,,,,,
2010-03-09,INVH,,,,,,
2010-03-10,INVH,,,,,,
2010-03-11,INVH,,,,,,
2010-03-12,INVH,,,,,,
2010-03-15,INVH,,,,,,
2010-03-16,INVH,,,,,,
2010-03-17,INVH,,,,,,
2010-03-18,INVH,,,,,,
2010-03-19,INVH,,,,,,
2010-03-22,INVH,,,,,,
2010-03-23,INVH,,,,,,
2010-03-24,INVH,,,,,,
2010-03-25,INVH,,,,,,
2010-03-26,INVH,,,,,,
2010-03-29,INVH,,,,,,
2010-03-30,INVH,,,,,,
2010-03-31,INVH,,,,,,
2010-04-01,INVH,,,,,,
2010-04-05,INVH,,,,,,
2010-04-06,INVH,,,,,,
2010-04-07,INVH,,,,,,
2010-04-08,INVH,,,,,,
2010-04-09,INVH,,,,,,
2010-04-12,INVH,,,,,,
2010-04-13,INVH,,,,,,
2010-04-14,INVH,,,,,,
2010-04-15,INVH,,,,,,
2010-04-16,INVH,,,,,,
2010-04-19,INVH,,,,,,
2010-04-20,INVH,,,,,,
2010-04-21,INVH,,,,,,
2010-04-22,INVH,,,,,,
2010-04-23,INVH,,,,,,
2010-04-26,INVH,,,,,,
2010-04-27,INVH,,,,,,
2010-04-28,INVH,,,,,,
2010-04-29,INVH,,,,,,
2010-04-30,INVH,,,,,,
2010-05-03,INVH,,,,,,
2010-05-04,INVH,,,,,,
2010-05-05,INVH,,,,,,
2010-05-06,INVH,,,,,,
2010-05-07,INVH,,,,,,
2010-05-10,INVH,,,,,,
2010-05-11,INVH,,,,,,
2010-05-12,INVH,,,,,,
2010-05-13,INVH,,,,,,
2010-05-14,INVH,,,,,,
2010-05-17,INVH,,,,,,
2010-05-18,INVH,,,,,,
2010-05-19,INVH,,,,,,
2010-05-20,INVH,,,,,,
2010-05-21,INVH,,,,,,
2010-05-24,INVH,,,,,,
2010-05-25,INVH,,,,,,
2010-05-26,INVH,,,,,,
2010-05-27,INVH,,,,,,
2010-05-28,INVH,,,,,,
2010-06-01,INVH,,,,,,
2010-06-02,INVH,,,,,,
2010-06-03,INVH,,,,,,
2010-06-04,INVH,,,,,,
2010-06-07,INVH,,,,,,
2010-06-08,INVH,,,,,,
2010-06-09,INVH,,,,,,
2010-06-10,INVH,,,,,,
2010-06-11,INVH,,,,,,
2010-06-14,INVH,,,,,,
2010-06-15,INVH,,,,,,
2010-06-16,INVH,,,,,,
2010-06-17,INVH,,,,,,
2010-06-18,INVH,,,,,,
2010-06-21,INVH,,,,,,
2010-06-22,INVH,,,,,,
2010-06-23,INVH,,,,,,
2010-06-24,INVH,,,,,,
2010-06-25,INVH,,,,,,
2010-06-28,INVH,,,,,,
2010-06-29,INVH,,,,,,
2010-06-30,INVH,,,,,,
2010-07-01,INVH,,,,,,
2010-07-02,INVH,,,,,,
2010-07-06,INVH,,,,,,
2010-07-07,INVH,,,,,,
2010-07-08,INVH,,,,,,
2010-07-09,INVH,,,,,,
2010-07-12,INVH,,,,,,
