Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,IR,,,,,,
2010-01-05,IR,,,,,,
2010-01-06,IR,,,,,,
2010-01-07,IR,,,,,,
2010-01-08,IR,,,,,,
2010-01-11,IR,,,,,,
2010-01-12,IR,,,,,,
2010-01-13,IR,,,,,,
2010-01-14,IR,,,,,,
2010-01-15,IR,,,,,,
2010-01-19,IR,,,,,,
2010-01-20,IR,,,,,,
2010-01-21,IR,,,,,,
2010-01-22,IR,,,,,,
2010-01-25,IR,,,,,,
2010-01-26,IR,,,,,,
2010-01-27,IR,,,,,,
2010-01-28,IR,,,,,,
2010-01-29,IR,,,,,,
2010-02-01,IR,,,,,,
2010-02-02,IR,,,,,,
2010-02-03,IR,,,,,,
2010-02-04,IR,,,,,,
2010-02-05,IR,,,,,,
2010-02-08,IR,,,,,,
2010-02-09,IR,,,,,,
2010-02-10,IR,,,,,,
2010-02-11,IR,,,,,,
2010-02-12,IR,,,,,,
2010-02-16,IR,,,,,,
2010-02-17,IR,,,,,,
2010-02-18,IR,,,,,,
2010-02-19,IR,,,,,,
2010-02-22,IR,,,,,,
2010-02-23,IR,,,,,,
2010-02-24,IR,,,,,,
2010-02-25,IR,,,,,,
2010-02-26,IR,,,,,,
2010-03-01,IR,,,,,,
2010-03-02,IR,,,,,,
2010-03-03,IR,,,,,,
2010-03-04,IR,,,,,,
2010-03-05,IR,,,,,,
2010-03-08,IR,,,,,,
2010-03-09,IR,,,,,,
2010-03-10,IR,,,,,,
2010-03-11,IR,,,,,,
2010-03-12,IR,,,,,,
2010-03-15,IR,,,,,,
2010-03-16,IR,,,,,,
2010-03-17,IR,,,,,,
2010-03-18,IR,,,,,,
2010-03-19,IR,,,,,,
2010-03-22,IR,,,,,,
2010-03-23,IR,,,,,,
2010-03-24,IR,,,,,,
2010-03-25,IR,,,,,,
2010-03-26,IR,,,,,,
2010-03-29,IR,,,,,,
2010-03-30,IR,,,,,,
2010-03-31,IR,,,,,,
2010-04-01,IR,,,,,,
2010-04-05,IR,,,,,,
2010-04-06,IR,,,,,,
