Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,SOLV,,,,,,
2010-01-05,SOLV,,,,,,
2010-01-06,SOLV,,,,,,
2010-01-07,SOLV,,,,,,
2010-01-08,SOLV,,,,,,
2010-01-11,SOLV,,,,,,
2010-01-12,SOLV,,,,,,
2010-01-13,SOLV,,,,,,
2010-01-14,SOLV,,,,,,
2010-01-15,SOLV,,,,,,
2010-01-19,SOLV,,,,,,
2010-01-20,SOLV,,,,,,
2010-01-21,SOLV,,,,,,
2010-01-22,SOLV,,,,,,
2010-01-25,SOLV,,,,,,
2010-01-26,SOLV,,,,,,
2010-01-27,SOLV,,,,,,
2010-01-28,SOLV,,,,,,
2010-01-29,SOLV,,,,,,
2010-02-01,SOLV,,,,,,
2010-02-02,SOLV,,,,,,
2010-02-03,SOLV,,,,,,
2010-02-04,SOLV,,,,,,
2010-02-05,SOLV,,,,,,
2010-02-08,SOLV,,,,,,
2010-02-09,SOLV,,,,,,
2010-02-10,SOLV,,,,,,
2010-02-11,SOLV,,,,,,
2010-02-12,SOLV,,,,,,
2010-02-16,SOLV,,,,,,
2010-02-17,SOLV,,,,,,
2010-02-18,SOLV,,,,,,
2010-02-19,SOLV,,,,,,
2010-02-22,SOLV,,,,,,
2010-02-23,SOLV,,,,,,
2010-02-24,SOLV,,,,,,
2010-02-25,SOLV,,,,,,
2010-02-26,SOLV,,,,,,
2010-03-01,SOLV,,,,,,
2010-03-02,SOLV,,,,,,
2010-03-03,SOLV,,,,,,
2010-03-04,SOLV,,,,,,
2010-03-05,SOLV,,,,,,
2010-03-08,SOLV,,,,,,
2010-03-09,SOLV,,,,,,
2010-03-10,SOLV,,,,,,
2010-03-11,SOLV,,,,,,
2010-03-12,SOLV,,,,,,
2010-03-15,SOLV,,,,,,
2010-03-16,SOLV,,,,,,
2010-03-17,SOLV,,,,,,
2010-03-18,SOLV,,,,,,
2010-03-19,SOLV,,,,,,
2010-03-22,SOLV,,,,,,
2010-03-23,SOLV,,,,,,
2010-03-24,SOLV,,,,,,
2010-03-25,SOLV,,,,,,
2010-03-26,SOLV,,,,,,
2010-03-29,SOLV,,,,,,
2010-03-30,SOLV,,,,,,
2010-03-31,SOLV,,,,,,
2010-04-01,SOLV,,,,,,
2010-04-05,SOLV,,,,,,
2010-04-06,SOLV,,,,,,
2010-04-07,SOLV,,,,,,
2010-04-08,SOLV,,,,,,
