Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,SYF,,,,,,
2010-01-05,SYF,,,,,,
2010-01-06,SYF,,,,,,
2010-01-07,SYF,,,,,,
2010-01-08,SYF,,,,,,
2010-01-11,SYF,,,,,,
2010-01-12,SYF,,,,,,
2010-01-13,SYF,,,,,,
2010-01-14,SYF,,,,,,
2010-01-15,SYF,,,,,,
2010-01-19,SYF,,,,,,
2010-01-20,SYF,,,,,,
2010-01-21,SYF,,,,,,
2010-01-22,SYF,,,,,,
2010-01-25,SYF,,,,,,
2010-01-26,SYF,,,,,,
2010-01-27,SYF,,,,,,
2010-01-28,SYF,,,,,,
2010-01-29,SYF,,,,,,
2010-02-01,SYF,,,,,,
2010-02-02,SYF,,,,,,
2010-02-03,SYF,,,,,,
2010-02-04,SYF,,,,,,
2010-02-05,SYF,,,,,,
2010-02-08,SYF,,,,,,
2010-02-09,SYF,,,,,,
2010-02-10,SYF,,,,,,
2010-02-11,SYF,,,,,,
2010-02-12,SYF,,,,,,
2010-02-16,SYF,,,,,,
2010-02-17,SYF,,,,,,
2010-02-18,SYF,,,,,,
2010-02-19,SYF,,,,,,
2010-02-22,SYF,,,,,,
2010-02-23,SYF,,,,,,
2010-02-24,SYF,,,,,,
2010-02-25,SYF,,,,,,
2010-02-26,SYF,,,,,,
2010-03-01,SYF,,,,,,
2010-03-02,SYF,,,,,,
2010-03-03,SYF,,,,,,
2010-03-04,SYF,,,,,,
2010-03-05,SYF,,,,,,
2010-03-08,SYF,,,,,,
2010-03-09,SYF,,,,,,
2010-03-10,SYF,,,,,,
2010-03-11,SYF,,,,,,
2010-03-12,SYF,,,,,,
2010-03-15,SYF,,,,,,
2010-03-16,SYF,,,,,,
2010-03-17,SYF,,,,,,
2010-03-18,SYF,,,,,,
2010-03-19,SYF,,,,,,
2010-03-22,SYF,,,,,,
2010-03-23,SYF,,,,,,
2010-03-24,SYF,,,,,,
2010-03-25,SYF,,,,,,
2010-03-26,SYF,,,,,,
2010-03-29,SYF,,,,,,
2010-03-30,SYF,,,,,,
2010-03-31,SYF,,,,,,
2010-04-01,SYF,,,,,,
2010-04-05,SYF,,,,,,
2010-04-06,SYF,,,,,,
2010-04-07,SYF,,,,,,
2010-04-08,SYF,,,,,,
2010-04-09,SYF,,,,,,
2010-04-12,SYF,,,,,,
2010-04-13,SYF,,,,,,
2010-04-14,SYF,,,,,,
2010-04-15,SYF,,,,,,
2010-04-16,SYF,,,,,,
2010-04-19,SYF,,,,,,
2010-04-20,SYF,,,,,,
2010-04-21,SYF,,,,,,
2010-04-22,SYF,,,,,,
2010-04-23,SYF,,,,,,
2010-04-26,SYF,,,,,,
2010-04-27,SYF,,,,,,
2010-04-28,SYF,,,,,,
2010-04-29,SYF,,,,,,
2010-04-30,SYF,,,,,,
2010-05-03,SYF,,,,,,
2010-05-04,SYF,,,,,,
2010-05-05,SYF,,,,,,
2010-05-06,SYF,,,,,,
2010-05-07,SYF,,,,,,
2010-05-10,SYF,,,,,,
2010-05-11,SYF,,,,,,
2010-05-12,SYF,,,,,,
2010-05-13,SYF,,,,,,
2010-05-14,SYF,,,,,,
2010-05-17,SYF,,,,,,
2010-05-18,SYF,,,,,,
2010-05-19,SYF,,,,,,
2010-05-20,SYF,,,,,,
2010-05-21,SYF,,,,,,
2010-05-24,SYF,,,,,,
2010-05-25,SYF,,,,,,
2010-05-26,SYF,,,,,,
2010-05-27,SYF,,,,,,
2010-05-28,SYF,,,,,,
2010-06-01,SYF,,,,,,
2010-06-02,SYF,,,,,,
2010-06-03,SYF,,,,,,
2010-06-04,SYF,,,,,,
2010-06-07,SYF,,,,,,
2010-06-08,SYF,,,,,,
2010-06-09,SYF,,,,,,
2010-06-10,SYF,,,,,,
2010-06-11,SYF,,,,,,
2010-06-14,SYF,,,,,,
2010-06-15,SYF,,,,,,
2010-06-16,SYF,,,,,,
2010-06-17,SYF,,,,,,
2010-06-18,SYF,,,,,,
2010-06-21,SYF,,,,,,
2010-06-22,SYF,,,,,,
2010-06-23,SYF,,,,,,
2010-06-24,SYF,,,,,,
2010-06-25,SYF,,,,,,
2010-06-28,SYF,,,,,,
2010-06-29,SYF,,,,,,
2010-06-30,SYF,,,,,,
2010-07-01,SYF,,,,,,
2010-07-02,SYF,,,,,,
2010-07-06,SYF,,,,,,
2010-07-07,SYF,,,,,,
2010-07-08,SYF,,,,,,
2010-07-09,SYF,,,,,,
2010-07-12,SYF,,,,,,
2010-07-13,SYF,,,,,,
2010-07-14,SYF,,,,,,
2010-07-15,SYF,,,,,,
2010-07-16,SYF,,,,,,
2010-07-19,SYF,,,,,,
2010-07-20,SYF,,,,,,
2010-07-21,SYF,,,,,,
2010-07-22,SYF,,,,,,
2010-07-23,SYF,,,,,,
2010-07-26,SYF,,,,,,
2010-07-27,SYF,,,,,,
2010-07-28,SYF,,,,,,
