Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,VLTO,,,,,,
2010-01-05,VLTO,,,,,,
2010-01-06,VLTO,,,,,,
2010-01-07,VLTO,,,,,,
2010-01-08,VLTO,,,,,,
2010-01-11,VLTO,,,,,,
2010-01-12,VLTO,,,,,,
2010-01-13,VLTO,,,,,,
2010-01-14,VLTO,,,,,,
2010-01-15,VLTO,,,,,,
2010-01-19,VLTO,,,,,,
2010-01-20,VLTO,,,,,,
2010-01-21,VLTO,,,,,,
2010-01-22,VLTO,,,,,,
2010-01-25,VLTO,,,,,,
2010-01-26,VLTO,,,,,,
2010-01-27,VLTO,,,,,,
2010-01-28,VLTO,,,,,,
2010-01-29,VLTO,,,,,,
2010-02-01,VLTO,,,,,,
2010-02-02,VLTO,,,,,,
2010-02-03,VLTO,,,,,,
2010-02-04,VLTO,,,,,,
2010-02-05,VLTO,,,,,,
2010-02-08,VLTO,,,,,,
2010-02-09,VLTO,,,,,,
2010-02-10,VLTO,,,,,,
2010-02-11,VLTO,,,,,,
2010-02-12,VLTO,,,,,,
2010-02-16,VLTO,,,,,,
2010-02-17,VLTO,,,,,,
2010-02-18,VLTO,,,,,,
2010-02-19,VLTO,,,,,,
2010-02-22,VLTO,,,,,,
2010-02-23,VLTO,,,,,,
2010-02-24,VLTO,,,,,,
2010-02-25,VLTO,,,,,,
2010-02-26,VLTO,,,,,,
2010-03-01,VLTO,,,,,,
2010-03-02,VLTO,,,,,,
2010-03-03,VLTO,,,,,,
2010-03-04,VLTO,,,,,,
2010-03-05,VLTO,,,,,,
2010-03-08,VLTO,,,,,,
2010-03-09,VLTO,,,,,,
2010-03-10,VLTO,,,,,,
2010-03-11,VLTO,,,,,,
2010-03-12,VLTO,,,,,,
2010-03-15,VLTO,,,,,,
2010-03-16,VLTO,,,,,,
2010-03-17,VLTO,,,,,,
2010-03-18,VLTO,,,,,,
2010-03-19,VLTO,,,,,,
2010-03-22,VLTO,,,,,,
2010-03-23,VLTO,,,,,,
2010-03-24,VLTO,,,,,,
2010-03-25,VLTO,,,,,,
2010-03-26,VLTO,,,,,,
2010-03-29,VLTO,,,,,,
2010-03-30,VLTO,,,,,,
2010-03-31,VLTO,,,,,,
2010-04-01,VLTO,,,,,,
2010-04-05,VLTO,,,,,,
2010-04-06,VLTO,,,,,,
2010-04-07,VLTO,,,,,,
2010-04-08,VLTO,,,,,,
2010-04-09,VLTO,,,,,,
2010-04-12,VLTO,,,,,,
2010-04-13,VLTO,,,,,,
2010-04-14,VLTO,,,,,,
2010-04-15,VLTO,,,,,,
2010-04-16,VLTO,,,,,,
2010-04-19,VLTO,,,,,,
2010-04-20,VLTO,,,,,,
2010-04-21,VLTO,,,,,,
2010-04-22,VLTO,,,,,,
2010-04-23,VLTO,,,,,,
2010-04-26,VLTO,,,,,,
2010-04-27,VLTO,,,,,,
2010-04-28,VLTO,,,,,,
2010-04-29,VLTO,,,,,,
2010-04-30,VLTO,,,,,,
2010-05-03,VLTO,,,,,,
2010-05-04,VLTO,,,,,,
2010-05-05,VLTO,,,,,,
2010-05-06,VLTO,,,,,,
2010-05-07,VLTO,,,,,,
2010-05-10,VLTO,,,,,,
2010-05-11,VLTO,,,,,,
2010-05-12,VLTO,,,,,,
2010-05-13,VLTO,,,,,,
2010-05-14,VLTO,,,,,,
2010-05-17,VLTO,,,,,,
2010-05-18,VLTO,,,,,,
2010-05-19,VLTO,,,,,,
2010-05-20,VLTO,,,,,,
2010-05-21,VLTO,,,,,,
2010-05-24,VLTO,,,,,,
2010-05-25,VLTO,,,,,,
2010-05-26,VLTO,,,,,,
2010-05-27,VLTO,,,,,,
2010-05-28,VLTO,,,,,,
2010-06-01,VLTO,,,,,,
2010-06-02,VLTO,,,,,,
2010-06-03,VLTO,,,,,,
2010-06-04,VLTO,,,,,,
2010-06-07,VLTO,,,,,,
2010-06-08,VLTO,,,,,,
2010-06-09,VLTO,,,,,,
2010-06-10,VLTO,,,,,,
2010-06-11,VLTO,,,,,,
2010-06-14,VLTO,,,,,,
2010-06-15,VLTO,,,,,,
2010-06-16,VLTO,,,,,,
2010-06-17,VLTO,,,,,,
2010-06-18,VLTO,,,,,,
2010-06-21,VLTO,,,,,,
2010-06-22,VLTO,,,,,,
2010-06-23,VLTO,,,,,,
2010-06-24,VLTO,,,,,,
2010-06-25,VLTO,,,,,,
2010-06-28,VLTO,,,,,,
2010-06-29,VLTO,,,,,,
2010-06-30,VLTO,,,,,,
2010-07-01,VLTO,,,,,,
2010-07-02,VLTO,,,,,,
2010-07-06,VLTO,,,,,,
2010-07-07,VLTO,,,,,,
2010-07-08,VLTO,,,,,,
2010-07-09,VLTO,,,,,,
2010-07-12,VLTO,,,,,,
2010-07-13,VLTO,,,,,,
2010-07-14,VLTO,,,,,,
2010-07-15,VLTO,,,,,,
2010-07-16,VLTO,,,,,,
2010-07-19,VLTO,,,,,,
2010-07-20,VLTO,,,,,,
2010-07-21,VLTO,,,,,,
2010-07-22,VLTO,,,,,,
2010-07-23,VLTO,,,,,,
2010-07-26,VLTO,,,,,,
2010-07-27,VLTO,,,,,,
2010-07-28,VLTO,,,,,,
2010-07-29,VLTO,,,,,,
2010-07-30,VLTO,,,,,,
2010-08-02,VLTO,,,,,,
2010-08-03,VLTO,,,,,,
2010-08-04,VLTO,,,,,,
2010-08-05,VLTO,,,,,,
2010-08-06,VLTO,,,,,,
2010-08-09,VLTO,,,,,,
2010-08-10,VLTO,,,,,,
2010-08-11,VLTO,,,,,,
2010-08-12,VLTO,,,,,,
2010-08-13,VLTO,,,,,,
2010-08-16,VLTO,,,,,,
2010-08-17,VLTO,,,,,,
2010-08-18,VLTO,,,,,,
2010-08-19,VLTO,,,,,,
2010-08-20,VLTO,,,,,,
2010-08-23,VLTO,,,,,,
2010-08-24,VLTO,,,,,,
2010-08-25,VLTO,,,,,,
2010-08-26,VLTO,,,,,,
2010-08-27,VLTO,,,,,,
2010-08-30,VLTO,,,,,,
2010-08-31,VLTO,,,,,,
2010-09-01,VLTO,,,,,,
2010-09-02,VLTO,,,,,,
2010-09-03,VLTO,,,,,,
2010-09-07,VLTO,,,,,,
2010-09-08,VLTO,,,,,,
2010-09-09,VLTO,,,,,,
2010-09-10,VLTO,,,,,,
2010-09-13,VLTO,,,,,,
2010-09-14,VLTO,,,,,,
2010-09-15,VLTO,,,,,,
2010-09-16,VLTO,,,,,,
2010-09-17,VLTO,,,,,,
2010-09-20,VLTO,,,,,,
2010-09-21,VLTO,,,,,,
2010-09-22,VLTO,,,,,,
2010-09-23,VLTO,,,,,,
2010-09-24,VLTO,,,,,,
2010-09-27,VLTO,,,,,,
2010-09-28,VLTO,,,,,,
2010-09-29,VLTO,,,,,,
2010-09-30,VLTO,,,,,,
2010-10-01,VLTO,,,,,,
2010-10-04,VLTO,,,,,,
2010-10-05,VLTO,,,,,,
2010-10-06,VLTO,,,,,,
2010-10-07,VLTO,,,,,,
2010-10-08,VLTO,,,,,,
2010-10-11,VLTO,,,,,,
2010-10-12,VLTO,,,,,,
2010-10-13,VLTO,,,,,,
2010-10-14,VLTO,,,,,,
2010-10-15,VLTO,,,,,,
2010-10-18,VLTO,,,,,,
2010-10-19,VLTO,,,,,,
2010-10-20,VLTO,,,,,,
2010-10-21,VLTO,,,,,,
2010-10-22,VLTO,,,,,,
2010-10-25,VLTO,,,,,,
2010-10-26,VLTO,,,,,,
2010-10-27,VLTO,,,,,,
2010-10-28,VLTO,,,,,,
2010-10-29,VLTO,,,,,,
2010-11-01,VLTO,,,,,,
2010-11-02,VLTO,,,,,,
2010-11-03,VLTO,,,,,,
2010-11-04,VLTO,,,,,,
2010-11-05,VLTO,,,,,,
2010-11-08,VLTO,,,,,,
2010-11-09,VLTO,,,,,,
2010-11-10,VLTO,,,,,,
2010-11-11,VLTO,,,,,,
2010-11-12,VLTO,,,,,,
2010-11-15,VLTO,,,,,,
2010-11-16,VLTO,,,,,,
2010-11-17,VLTO,,,,,,
2010-11-18,VLTO,,,,,,
2010-11-19,VLTO,,,,,,
2010-11-22,VLTO,,,,,,
2010-11-23,VLTO,,,,,,
2010-11-24,VLTO,,,,,,
2010-11-26,VLTO,,,,,,
2010-11-29,VLTO,,,,,,
2010-11-30,VLTO,,,,,,
2010-12-01,VLTO,,,,,,
2010-12-02,VLTO,,,,,,
2010-12-03,VLTO,,,,,,
2010-12-06,VLTO,,,,,,
2010-12-07,VLTO,,,,,,
2010-12-08,VLTO,,,,,,
