Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,XYL,,,,,,
2010-01-05,XYL,,,,,,
2010-01-06,XYL,,,,,,
2010-01-07,XYL,,,,,,
2010-01-08,XYL,,,,,,
2010-01-11,XYL,,,,,,
2010-01-12,XYL,,,,,,
2010-01-13,XYL,,,,,,
2010-01-14,XYL,,,,,,
2010-01-15,XYL,,,,,,
2010-01-19,XYL,,,,,,
2010-01-20,XYL,,,,,,
2010-01-21,XYL,,,,,,
2010-01-22,XYL,,,,,,
2010-01-25,XYL,,,,,,
2010-01-26,XYL,,,,,,
2010-01-27,XYL,,,,,,
2010-01-28,XYL,,,,,,
2010-01-29,XYL,,,,,,
2010-02-01,XYL,,,,,,
2010-02-02,XYL,,,,,,
2010-02-03,XYL,,,,,,
2010-02-04,XYL,,,,,,
2010-02-05,XYL,,,,,,
2010-02-08,XYL,,,,,,
2010-02-09,XYL,,,,,,
2010-02-10,XYL,,,,,,
2010-02-11,XYL,,,,,,
2010-02-12,XYL,,,,,,
2010-02-16,XYL,,,,,,
2010-02-17,XYL,,,,,,
2010-02-18,XYL,,,,,,
2010-02-19,XYL,,,,,,
2010-02-22,XYL,,,,,,
2010-02-23,XYL,,,,,,
2010-02-24,XYL,,,,,,
2010-02-25,XYL,,,,,,
2010-02-26,XYL,,,,,,
2010-03-01,XYL,,,,,,
2010-03-02,XYL,,,,,,
2010-03-03,XYL,,,,,,
2010-03-04,XYL,,,,,,
2010-03-05,XYL,,,,,,
2010-03-08,XYL,,,,,,
2010-03-09,XYL,,,,,,
2010-03-10,XYL,,,,,,
2010-03-11,XYL,,,,,,
2010-03-12,XYL,,,,,,
2010-03-15,XYL,,,,,,
2010-03-16,XYL,,,,,,
2010-03-17,XYL,,,,,,
2010-03-18,XYL,,,,,,
2010-03-19,XYL,,,,,,
2010-03-22,XYL,,,,,,
2010-03-23,XYL,,,,,,
2010-03-24,XYL,,,,,,
2010-03-25,XYL,,,,,,
2010-03-26,XYL,,,,,,
2010-03-29,XYL,,,,,,
2010-03-30,XYL,,,,,,
2010-03-31,XYL,,,,,,
2010-04-01,XYL,,,,,,
2010-04-05,XYL,,,,,,
2010-04-06,XYL,,,,,,
2010-04-07,XYL,,,,,,
2010-04-08,XYL,,,,,,
2010-04-09,XYL,,,,,,
2010-04-12,XYL,,,,,,
2010-04-13,XYL,,,,,,
2010-04-14,XYL,,,,,,
2010-04-15,XYL,,,,,,
2010-04-16,XYL,,,,,,
2010-04-19,XYL,,,,,,
2010-04-20,XYL,,,,,,
2010-04-21,XYL,,,,,,
2010-04-22,XYL,,,,,,
2010-04-23,XYL,,,,,,
2010-04-26,XYL,,,,,,
2010-04-27,XYL,,,,,,
2010-04-28,XYL,,,,,,
2010-04-29,XYL,,,,,,
2010-04-30,XYL,,,,,,
2010-05-03,XYL,,,,,,
2010-05-04,XYL,,,,,,
2010-05-05,XYL,,,,,,
2010-05-06,XYL,,,,,,
2010-05-07,XYL,,,,,,
2010-05-10,XYL,,,,,,
2010-05-11,XYL,,,,,,
2010-05-12,XYL,,,,,,
2010-05-13,XYL,,,,,,
2010-05-14,XYL,,,,,,
2010-05-17,XYL,,,,,,
2010-05-18,XYL,,,,,,
2010-05-19,XYL,,,,,,
2010-05-20,XYL,,,,,,
2010-05-21,XYL,,,,,,
2010-05-24,XYL,,,,,,
2010-05-25,XYL,,,,,,
2010-05-26,XYL,,,,,,
2010-05-27,XYL,,,,,,
2010-05-28,XYL,,,,,,
2010-06-01,XYL,,,,,,
2010-06-02,XYL,,,,,,
2010-06-03,XYL,,,,,,
2010-06-04,XYL,,,,,,
2010-06-07,XYL,,,,,,
2010-06-08,XYL,,,,,,
2010-06-09,XYL,,,,,,
2010-06-10,XYL,,,,,,
2010-06-11,XYL,,,,,,
2010-06-14,XYL,,,,,,
2010-06-15,XYL,,,,,,
2010-06-16,XYL,,,,,,
2010-06-17,XYL,,,,,,
2010-06-18,XYL,,,,,,
2010-06-21,XYL,,,,,,
2010-06-22,XYL,,,,,,
2010-06-23,XYL,,,,,,
2010-06-24,XYL,,,,,,
